epoch,training_loss,accuracy,precision,recall,f1score
1,0.26075344364340985,0.900045850527281,0.8962909614692114,0.906409322651129,0.9013217454282093
2,0.10278021270434552,0.9095827602017423,0.9246136449302677,0.8932993445010925,0.908686793850713
3,0.07436205358559991,0.9103163686382394,0.922976011994003,0.8967589220684632,0.9096786110084965
4,0.06111969810356323,0.9204951856946355,0.9193109700815957,0.9231609613983977,0.9212319433088035
5,0.05161625292222053,0.9159101329665291,0.8827170821482349,0.9606700655498908,0.9200453396111257
