epoch,training_loss,accuracy,precision,recall,f1score
1,0.25613465792158113,0.8815222375057313,0.8834915997078159,0.8809176984705025,0.8822027716994895
2,0.09412746507758735,0.8883998165978909,0.9240230113072803,0.8481427530954115,0.8844583689357258
3,0.07279365729969216,0.9034387895460798,0.8814229249011858,0.9339038601602331,0.9069047829546459
4,0.06002841878655333,0.8972031178358552,0.8818801327974838,0.9189730517115805,0.9000445831475702
5,0.052599041524741014,0.9081155433287483,0.8787112010796221,0.9484705025491624,0.9122591943957968
6,0.04751443120126892,0.8910591471801925,0.8737408822507815,0.9160597232337946,0.8944
7,0.041378014841531786,0.9029802842732692,0.8789743589743589,0.9362709395484341,0.9067183918180215
8,0.0380168647479927,0.9239798257679963,0.945197632232194,0.9013109978150037,0.922732780315034
