epoch,training_loss,accuracy,precision,recall,f1score
1,0.27613119607501013,0.8823475469967904,0.8720169701255083,0.8982155863073562,0.8849224145663288
2,0.13375281479756196,0.9001375515818432,0.8686987104337632,0.9444646758922068,0.9049986914420309
3,0.10846110783160666,0.9260889500229252,0.9390929535232384,0.9124180626365622,0.9255633542667159
4,0.08153582688426757,0.9347088491517652,0.9364499634769905,0.9337217771303714,0.9350838803792852
5,0.0683690333151313,0.944612563044475,0.9674827850038256,0.9209759650400583,0.9436567164179105
