epoch,training_loss,accuracy,precision,recall,f1score
1,0.29805673741487787,0.892801467216873,0.9191390343222804,0.8630735615440641,0.8902244342191755
2,0.13535886746033143,0.910041265474553,0.9277451166318984,0.8907501820830298,0.9088713423130516
3,0.10312230406018098,0.9116918844566713,0.878109868091501,0.9575746540422433,0.9161222889992161
4,0.08122853823284422,0.921595598349381,0.9152785240909905,0.9304442825928624,0.9227990970654627
5,0.07104539604684325,0.9363594681338835,0.9482436472346786,0.9240713765477058,0.9360014754703062
6,0.05940810255428441,0.938101788170564,0.9395875159700675,0.9373634377276038,0.9384741591468416
7,0.05275731137412325,0.8946354883081156,0.8554591586184318,0.9515659140568099,0.9009568140677527
8,0.04469413092708808,0.9359009628610729,0.953968554650502,0.9169701383831027,0.9351035187076409
